,Year,Television revenue (in million U.S. dollars)
0,2013,684.3
1,2012,670.0
2,2011,653.0
3,2010,633.8
4,2009,571.0
5,2008,543.8
6,2007,503.0
7,2006,453.0
8,2005,432.0
9,2004,400.0
10,2003,370.04
11,2002,272.78
12,2001,242.1
13,2000,227.7
14,1999,213.8
15,1998,200.9
16,1997,188.4
17,1996,178.3
18,1995,166.2
19,1994,137.06
20,1993,129.06
21,1992,120.06
22,1991,112.44
23,1990,63.51
24,1989,57.16
25,1988,57.79
26,1987,36.64
27,1986,33.03
28,1985,28.33
29,1984,20.14
30,1983,16.88
31,1982,14.63
32,1981,10.32
33,1980,8.86
