,Cash Machine Operator,Number of ATMs
0,Cardtronics,15402
1,NoteMachine,10428
2,NatWest,7151
3,PayPoint,3848
4,Barclays bank UK,3607
5,YourCash,3138
6,DC Payments,2996
7,Bank of Ireland,2492
8,Santander,2364
9,Lloyds bank,2170
10,Sainsbury's Bank,1850
11,Halifax,1781
12,HSBC,1598
13,Nationwide Building Society,1377
14,TSB Bank,786
15,Bank of Scotland,432
16,Travelex,362
17,Yorkshire Bank,306
18,Raphaels Bank,281
19,Clydesdale bank,229
20,Northern Bank,193
21,Moneycorp,138
22,AIB Group,73
23,Coventry Building Society,64
24,ChangeGroup,44
25,Cumberland Building Society,20
26,Barclays Bank,14
27,Citibank,4
28,G4S,4
