,Counties In England,Number of inhabitants (in thousands)
0,Greater London,8908.08
1,West Midlands,2916.46
2,Greater Manchester,2812.57
3,West Yorkshire,2320.21
4,Hampshire,1844.25
5,Kent,1846.48
6,Essex,1832.75
7,Lancashire,1498.3
8,Merseyside,1423.07
9,South Yorkshire,1402.92
10,Devon,1194.17
11,Surrey,1189.93
12,Hertfordshire,1184.37
13,Nottinghamshire,1154.2
14,Tyne and Wear,1136.37
15,Staffordshire,1131.05
16,North Yorkshire,1101.66
17,Lincolnshire,1087.66
18,Cheshire,1059.27
19,Derbyshire,1053.32
20,Leicestershire,1053.49
21,Somerset,965.42
22,County Durham,924.0
23,Gloucestershire,916.2
24,Berkshire,911.4
25,Norfolk,903.68
26,West Sussex,858.85
27,Cambridgeshire,852.52
28,East Sussex,844.99
29,Buckinghamshire,808.67
30,Dorset,772.27
31,Suffolk,758.56
32,Northamptonshire,747.62
33,Wiltshire,720.06
34,Oxfordshire,687.52
35,Bedfordshire,669.34
36,East Yorkshire,600.26
37,Worcestershire,592.06
38,Warwickshire,571.01
39,Cornwall,568.21
40,Cumbria,498.89
41,Shropshire,498.07
42,Bristol,463.41
43,Northumberland,320.27
44,Herefordshire,192.11
45,Isle of Wight,141.54
46,Rutland,39.97
