,MLS Orlando City players,Payroll in thousand U.S. dollars
0,Nani,2486.25
1,Dom Dwyer,1503.33
2,Sacha Kljestan,1100.0
3,Lamine Sane,950.0
4,Cristian Higuita,611.66
5,Oriol Rosell,522.5
6,Will Johnson,491.0
7,Jhegson,486.75
8,Carlos Ascues,451.5
9,Josue Colman,450.0
10,Robin Jansson,289.8
11,Joao Moutinho,203.0
12,Dillon Powers,200.0
13,Ruan Teixeira,160.0
14,Tesho Akindele,150.0
15,Alexander De John,146.61
16,Shane O'Neill,139.5
17,Benji Michel,116.25
18,Danila Acosta,110.0
19,Chris Mueller,109.38
20,Cam Lindley,98.91
21,Brian Rowe,98.0
22,Santiago Patino,76.78
23,Adam Grinwis,70.88
24,Mason Stajduhar,70.88
25,Gregory Ranjitsingh,70.25
26,Kyle Smith,70.25
27,Pierre Da Silva,70.25
28,Kamal Miller,56.25
