,State,Number of school shootings
0,California,180
1,Texas,149
2,Florida,103
3,Illinois,78
4,Michigan,76
5,Ohio,66
6,Pennsylvania,65
7,New York,55
8,Georgia,54
9,Tennessee,51
10,Louisiana,51
11,Maryland,50
12,Alabama,49
13,North Carolina,49
14,Missouri,42
15,Washington,38
16,Indiana,30
17,South Carolina,30
18,Virginia,29
19,District of Columbia,27
20,Arkansas,21
21,Colorado,21
22,Connecticut,20
23,Kentucky,19
24,Mississippi,19
25,Wisconsin,18
26,Oregon,17
27,New Jersey,16
28,Massachusetts,15
29,Nevada,15
30,Utah,15
31,Arizona,15
32,Minnesota,14
33,Oklahoma,14
34,Iowa,14
35,Kansas,13
36,New Mexico,12
37,Nebraska,10
38,Delaware,10
39,Montana,8
40,New Hampshire,7
41,Rhode Island,6
42,South Dakota,5
43,Alaska,5
44,Idaho,3
45,Hawaii,3
46,West Virginia,3
47,Vermont,2
48,Maine,2
49,Wyoming,2
50,North Dakota,1
