,Response,Share of respondents
0,"Swimming, diving or lifesaving",49.5%
1,Football (include five-a-side),31.4%
2,Cycling or riding a bike,26.5%
3,Walking or hiking,22.4%
4,"Gym, gymnastics, trampolining or climbing frame",19.8%
5,"Martial arts - Judo, Karate, Taekwando and other Martial Arts",9.7%
6,Tenpin bowling,8.1%
7,Tennis,7.8%
8,Rugby,5.5%
9,Roller skating/blading or skate boarding,5.4%
10,Cricket,5.3%
11,"Cross country, jogging or road running",4.5%
12,"Golf, putting, pitch and putt",4.2%
13,Dodgeball,3.8%
14,Rounders,3.7%
15,"Aerobics, keep fit",3.5%
16,"Athletics, track and field events, running races or jumping",3.4%
17,Ice skating,3.2%
18,Netball,3%
19,Table tennis,3%
20,Horse riding or pony trekking,2.9%
21,Badminton,2.3%
22,Basketball,2.2%
23,Angling or fishing,1.9%
24,Hockey,1.7%
