,Year,Rate per one thousand women aged 15-44
0,2010,98.7
1,2009,102.1
2,2008,105.5
3,2007,107.0
4,2006,106.6
5,2005,103.7
6,2004,104.1
7,2003,103.7
8,2002,102.6
9,2001,103.1
10,2000,104.5
11,1999,102.2
12,1998,102.2
13,1997,101.6
14,1996,102.8
15,1995,103.5
16,1994,106.1
17,1993,108.8
18,1992,111.1
19,1991,112.7
20,1990,115.8
21,1989,111.8
22,1988,110.0
23,1987,106.8
24,1986,106.7
25,1985,108.3
26,1984,107.4
27,1983,108.0
28,1982,110.1
29,1981,110.5
30,1980,111.9
31,1979,109.9
32,1978,106.7
33,1977,107.0
34,1976,102.7
