,Country,Number of cases
0,Total,2929778
1,South Africa,1149591
2,Morocco,447081
3,Tunisia,149881
4,Egypt,145590
5,Ethiopia,126786
6,Libya,102880
7,Algeria,101120
8,Kenya,97398
9,Nigeria,94369
10,Ghana,55168
11,Uganda,36702
12,Cameroon,26848
13,Namibia,26319
14,Zambia,23495
15,Sudan,23316
16,Ivory Coast,22963
17,Senegal,20156
18,Mozambique,19667
19,Democratic Republic of the Congo,18487
20,Angola,17864
21,Zimbabwe,17804
22,Madagascar,17767
23,Botswana,15440
24,Mauritania,15111
25,Guinea,13845
26,Cabo Verde,12052
27,Eswatini,10539
28,Gabon,9641
29,Réunion,9173
30,Rwanda,9058
31,Burkina Faso,7563
32,Mali,7395
33,Malawi,7337
34,Congo,7127
35,Mayotte,6045
36,Djibouti,5855
37,Equatorial Guinea,5286
38,Central African Republic,4969
39,Somalia,4726
40,Lesotho,4137
41,Gambia,3812
42,Togo,3807
43,Niger,3634
44,South Sudan,3589
45,Benin,3304
46,Sierra Leone,2739
47,Guinea-Bissau,2455
48,Chad,2328
49,Liberia,1779
50,Eritrea,1445
51,Sao Tome and Principe,1025
52,Comros,995
53,Burundi,884
54,Mauritius,539
55,Tanzania,509
56,Seychelles,373
57,Western Sahara,10
