,Year,Unit shipments in millions
0,2022*,269.04
1,2021*,283.82
2,2020*,305.67
3,2019*,320.04
4,2018,375.56
5,2017,403.7
6,2016,424.07
7,2015,468.73
8,2014,563.94
9,2013,551.96
10,2012,578.47
11,2011,622.3
12,2010,651.32
13,2009,557.15
14,2008,540.28
15,2007,501.88
16,2006,435.88
17,2005,381.16
18,2004,305.2
19,2003,244.4
20,2002,207.4
21,2001,196.0
22,2000,200.1
23,1999,174.4
24,1998,144.97
25,1997,130.5
26,1996,105.02
27,1995,89.57
28,1994,70.0
29,1993,51.86
30,1992,43.91
31,1991,32.59
32,1990,27.88
33,1989,22.18
34,1988,17.77
35,1987,13.19
36,1986,7.41
37,1985,4.89
38,1984,3.65
39,1983,1.97
40,1982,0.95
41,1981,0.7
42,1980,0.51
43,1979,0.39
44,1978,0.31
45,1977,0.24
46,1976,0.18
