,Month,Units sold
0,Dec 19,4701
1,Nov 19,3503
2,Oct 19,2942
3,Sep 19,11814
4,Aug 19,1872
5,Jul 19,2187
6,Jun 19,6094
7,May 19,3728
8,Apr 19,3261
9,Mar 19,13723
10,Feb 19,1942
11,Jan 19,3365
12,Dec 18,3540
13,Nov 18,4779
14,Oct 18,4072
15,Sep 18,10074
16,Aug 18,1871
17,Jul 18,3196
18,Jun 18,5606
19,May 18,4964
20,Apr 18,4462
21,Mar 18,14531
22,Feb 18,1326
23,Jan 18,3747
24,Dec 17,3194
25,Nov 17,4066
26,Oct 17,3204
27,Sep 17,12378
28,Aug 17,1852
29,Jul 17,3592
30,Jun 17,7316
31,May 17,4308
32,Apr 17,4074
33,Mar 17,19014
34,Feb 17,2092
35,Jan 17,4020
36,Dec 16,6058
37,Nov 16,6572
38,Oct 16,4360
39,Sep 16,17275
40,Aug 16,2485
41,Jul 16,3782
