,Country,Number of ski areas
0,Germany,498
1,Russia,354
2,Italy,349
3,France,317
4,Austria,253
5,Sweden,228
6,Norway,213
7,Czech Republic,191
8,Switzerland,186
9,Poland,182
10,Slovakia,107
11,Finland,76
12,Turkey,60
13,Ukraine,54
14,Romania,47
15,Slovenia,44
16,Bulgaria,32
17,Spain,32
18,Serbia,31
19,Latvia,26
20,Greece,22
21,Kazakhstan,19
22,Kyrgyzstan,19
23,Bosnia and Herzegovina,18
24,Hungary,15
25,Iceland,13
26,Croatia,13
27,Lithuania,11
28,United Kingdom,10
29,Albania,10
30,Estonia,9
31,Georgia,8
32,Macedonia,8
33,Belgium,7
34,Belarus,6
35,Denmark,5
36,Montenegro,4
37,Uzbekistan,3
38,Kosovo,3
39,Armenia,3
40,Andorra,3
41,Azerbaijan,2
42,Liechtenstein,1
43,Portugal,1
