,Year,GDP per capita in U.S. dollars
0,2025*,14252.44
1,2024*,13605.12
2,2023*,13002.83
3,2022*,12415.74
4,2021*,11804.69
5,2020*,11629.01
6,2019,12243.84
7,2018,12123.96
8,2017,11872.57
9,2016,11779.24
10,2015,11422.6
11,2014,10679.13
12,2013,10632.95
13,2012,10054.53
14,2011,9260.86
15,2010,8264.2
16,2009,6897.24
17,2008,7003.46
18,2007,6187.39
19,2006,5295.91
20,2005,4743.15
21,2004,4470.86
22,2003,4213.89
23,2002,4108.17
24,2001,4029.58
25,2000,3927.59
26,1999,3703.13
27,1998,3638.58
28,1997,3437.06
29,1996,3265.48
30,1995,3327.39
31,1994,3105.45
32,1993,2927.07
33,1992,2688.05
34,1991,2318.48
35,1990,1873.62
36,1989,1756.8
37,1988,1591.98
38,1987,1606.45
39,1986,1605.22
40,1985,1472.76
