,Company,Turnover in million SEK
0,Meritor HVS AB,4179
1,ELON Group AB (publ),3710
2,Kopparbergs Bryggeri AB,3026
3,Örebro Rådhus AB,2877
4,Atria Sverige AB,2817
5,Linde Material Handling AB,1888
6,Zinkgruvan Mining AB,1859
7,Dressmann AB,1499
8,Ahlstrom-Munksjö Aspa Bruk AB,1167
9,Cambrex Karlskoga AB,1099
10,LäroMedia Örebro AB,982
11,Suzuki Garphyttan AB,967
12,Kommuninvest i Sverige AB,942
13,Bharat Forge Kilsta AB,845
14,BAE Systems Bofors AB,843
15,Moelven Valåsen AB,815
16,Würth Svenska AB,803
17,Asplundsgruppen AB,781
18,Orica Sweden AB,736
19,Textilia Tvätt & Textilservice AB,637
