,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,1.9%
3,2022*,1.8%
4,2021*,3.3%
5,2020*,1.4%
6,2019,2.17%
7,2018,2.77%
8,2017,1.88%
9,2016,3.55%
10,2015,2.17%
11,2014,2.04%
12,2013,2.12%
13,2012,0.7%
14,2011,1.29%
15,2010,2.42%
16,2009,2.2%
17,2008,3.75%
18,2007,0.71%
19,2006,2.33%
20,2005,1.53%
21,2004,0.45%
22,2003,2.49%
23,2002,1.29%
24,2001,3%
25,2000,3.09%
26,1999,2.37%
27,1998,2.25%
28,1997,2.57%
29,1996,1.26%
30,1995,2.46%
31,1994,1.38%
32,1993,2.29%
33,1992,2.33%
34,1991,3.44%
35,1990,4.13%
36,1989,4.55%
37,1988,6.68%
38,1987,8.72%
39,1986,7.18%
40,1985,5.72%
