,Country,Population grwoth compared to the previous year
0,Malta,3.65%
1,Luxembourg,1.95%
2,Ireland,1.51%
3,Sweden,1.08%
4,Cyprus,0.78%
5,Slovenia,0.68%
6,Netherlands,0.59%
7,Spain,0.59%
8,Belgium,0.5%
9,Denmark,0.43%
10,Austria,0.41%
11,Czech Republic,0.37%
12,Estonia,0.35%
13,Germany,0.27%
14,Euro area,0.22%
15,European Union,0.16%
16,France,0.14%
17,Slovak Republic,0.13%
18,Finland,0.09%
19,Poland,-0.01%
20,Hungary,-0.06%
21,Portugal,-0.14%
22,Greece,-0.15%
23,Italy,-0.21%
24,Lithuania,-0.53%
25,Romania,-0.6%
26,Bulgaria,-0.7%
27,Latvia,-0.75%
