,Month,Unemployment rate
0,Jan '20,3.9%
1,Dec '19,3.8%
2,Nov '19,4.1%
3,Oct '19,4.1%
4,Sep '19,4.2%
5,Aug '19,4.1%
6,Jul '19,4.4%
7,Jun '19,4.3%
8,May '19,4.1%
9,Apr '19,4.2%
10,Mar '19,4.5%
11,Feb '19,4.7%
12,Jan '19,4.7%
13,Dec '18,4.1%
14,Nov '18,4.3%
15,Oct '18,4.5%
16,Sep '18,4.5%
17,Aug '18,4.4%
18,Jul '18,5%
19,Jun '18,4.9%
20,May '18,4.8%
21,Apr '18,4.9%
22,Mar '18,5.2%
23,Feb '18,5.4%
24,Jan '18,5.4%
25,Dec '17,5.1%
26,Nov '17,5.2%
27,Oct '17,5.3%
28,Sep '17,5.5%
29,Aug '17,5.5%
30,Jul '17,6.2%
31,Jun '17,6.1%
32,May '17,6.1%
33,Apr '17,6.2%
34,Mar '17,6.4%
35,Feb '17,6.7%
36,Jan '17,6.6%
