,Year,Number of patients
0,1/8/2021,1100
1,1/6/2021,1070
2,1/5/2021,1086
3,1/3/2021,1119
4,1/1/2021,1111
5,12/30/2020,1149
6,12/27/2020,1206
7,12/24/2020,1234
8,12/21/2020,1255
9,12/18/2020,1270
10,12/17/2020,1297
11,12/16/2020,1267
12,12/14/2020,1289
13,12/12/2020,1288
14,12/9/2020,1271
15,12/6/2020,1289
16,12/4/2020,1275
17,12/2/2020,1260
18,11/28/2020,1249
19,11/27/2020,1226
20,11/25/2020,1205
21,11/23/2020,1160
22,11/22/2020,1174
23,11/20/2020,1139
24,11/18/2020,1174
25,11/16/2020,1187
26,11/14/2020,1172
27,11/13/2020,1149
28,11/12/2020,1152
29,11/11/2020,1092
30,11/9/2020,1076
31,11/8/2020,1056
32,11/7/2020,1048
33,11/6/2020,1001
34,11/5/2020,1014
35,11/4/2020,1001
36,11/3/2020,974
37,11/2/2020,916
38,10/31/2020,923
39,10/30/2020,917
40,10/29/2020,868
41,10/27/2020,824
42,10/25/2020,828
43,10/24/2020,787
44,10/22/2020,778
45,10/20/2020,768
46,10/19/2020,757
47,10/17/2020,745
48,10/15/2020,721
49,10/13/2020,651
50,10/10/2020,629
51,10/9/2020,613
52,10/7/2020,612
53,10/4/2020,598
54,10/2/2020,571
55,9/30/2020,550
56,9/28/2020,557
57,9/27/2020,535
58,9/25/2020,508
59,9/23/2020,498
60,9/20/2020,470
61,9/17/2020,460
62,9/16/2020,471
63,9/14/2020,456
64,9/11/2020,478
65,9/10/2020,459
66,9/6/2020,474
67,9/4/2020,485
68,9/3/2020,503
69,9/1/2020,522
70,8/29/2020,490
71,8/26/2020,502
72,8/23/2020,480
73,8/22/2020,504
74,8/20/2020,489
75,8/17/2020,497
76,8/15/2020,473
77,8/12/2020,485
78,8/8/2020,448
79,8/5/2020,464
80,8/3/2020,419
81,7/31/2020,409
82,7/27/2020,353
83,7/25/2020,315
84,7/23/2020,285
85,7/20/2020,293
86,7/17/2020,273
87,7/13/2020,235
88,7/10/2020,236
89,7/7/2020,231
90,7/3/2020,224
91,6/29/2020,210
92,6/25/2020,199
93,6/21/2020,195
94,6/19/2020,184
95,6/15/2020,175
96,6/11/2020,153
97,6/7/2020,144
98,6/4/2020,153
99,5/31/2020,160
100,5/27/2020,198
101,5/23/2020,196
102,5/19/2020,195
103,5/15/2020,219
104,5/11/2020,255
105,5/7/2020,234
106,5/3/2020,255
