,Year,Gross domestic product in billion international dollars
0,2021*,920.97
1,2020*,864.89
2,2019*,911.56
3,2018,915.75
4,2017,916.72
5,2016,876.39
6,2015,885.83
7,2014,853.4
8,2013,859.49
9,2012,824.83
10,2011,817.7
11,2010,755.6
12,2009,678.22
13,2008,715.44
14,2007,674.42
15,2006,602.51
16,2005,541.25
17,2004,482.22
18,2003,431.16
19,2002,388.5
20,2001,429.21
21,2000,439.37
22,1999,433.19
23,1998,441.98
24,1997,420.86
25,1996,382.69
26,1995,356.12
27,1994,359.02
28,1993,332.15
29,1992,305.38
30,1991,270.69
31,1990,236.96
32,1989,231.51
33,1988,239.56
34,1987,236.02
35,1986,224.64
36,1985,205.52
37,1984,214.1
