,Economic Risk,Risk rank
0,China experiences a hard landing,20
1,"Russia's interventions in Ukraine and Syria precede a new ""cold war""",16
2,Currency volatility culminates in an emerging markets corporate debt crisis,16
3,"""Grexit"" is followed by a euro zone break-up",15
4,"Beset by external and internal pressures, the EU begins to fracture",15
5,The rising threat of jihadi terrorism destabilizes the global economy,12
6,Donal Trump wins the U.S. presidential election,12
7,The UK votes to leave the EU,8
8,Chinese expansionism prompts a clash of arms in the South China Sea,8
9,A collapse in investment in the oil sector prompts a future oil price shock,4
