,academic major,Median income in U.S. Dollars
0,Architecture and engineering,"83,000$"
1,"Computers, statistics, and mathematics","76,000$"
2,Business,"65,000$"
3,Health,"65,000$"
4,Physical Science,"65,000$"
5,All Majors,"61,000$"
6,Social Science,"60,000$"
7,Agriculture and natural resources,"56,000$"
8,Biology and life sciences,"56,000$"
9,Communications and journalism,"54,000$"
10,Law and public policy,"54,000$"
11,Humanities and liberal arts,"52,000$"
12,"Industrial arts, consumer services, and recreation","52,000$"
13,Arts,"49,000$"
14,Psychology and social work,"47,000$"
15,Education,"45,000$"
