,Year,Inflation rate compared to previous year
0,2024*,8%
1,2023*,8%
2,2022*,8%
3,2021*,8%
4,2020*,10%
5,2019*,9.95%
6,2018,6.99%
7,2017,6.58%
8,2016,17.87%
9,2015,10.11%
10,2014,7.81%
11,2013,6.98%
12,2012,6.58%
13,2011,8.66%
14,2010,8.5%
15,2009,13.39%
16,2008,12.45%
17,2007,10.66%
18,2006,9.02%
19,2005,18.33%
20,2004,17.97%
21,2003,21.4%
22,2002,22.24%
23,2001,21.36%
24,2000,26.1%
25,1999,26.79%
26,1998,24.46%
27,1997,24.41%
28,1996,43.1%
29,1995,34.91%
30,1994,54.61%
31,1993,183.26%
32,1992,165.73%
33,1991,97.7%
34,1990,109.56%
35,1989,128.29%
36,1988,54.04%
37,1987,47.03%
38,1986,54.8%
39,1985,37.43%
40,1984,20.02%
