,Highest rated universities,Times Higher Education score
0,LMU Munich,77.8
1,Technical University of Munich,74.1
2,Heidelberg University,73.5
3,Humboldt University of Berlin,65.0
4,Charité - Universitätsmedizin Berlin,64.0
5,University of Freiburg,63.3
6,University of Tübingen,62.7
7,RWTH Aachen University,62.2
8,University of Bonn,61.6
9,Free University of Berlin,60.1
10,University of Göttingen,59.5
11,Ulm University,57.9
12,University of Hamburg,57.3
13,Technical University of Berlin,57.3
14,University of Cologne,56.9
15,University of Mannheim,56.9
16,TU Dresden,56.9
17,University of Würzburg,56.8
18,Bielefeld University,56.1
19,Karlsruhe Institute of Technology,55.4
