,Country,Share of respondents who trust news media
0,Finland,59%
1,Portugal,58%
2,Denmark,57%
3,Netherlands,52%
4,Canada,52%
5,Mexico,50%
6,Belgium,49%
7,Ireland,48%
8,Brazil,48%
9,Poland,48%
10,Germany,47%
11,Norway,46%
12,Hong Kong,46%
13,Switzerland,46%
14,Turkey,46%
15,Chile,45%
16,Australia,44%
17,Spain,43%
18,Singapore,42%
19,United Kingdom,40%
20,Bulgaria,40%
21,Italy,40%
22,Croatia,40%
23,Argentina,39%
24,Austria,39%
25,Sweden,39%
26,Japan,39%
27,Romania,35%
28,Slovakia,33%
29,Czech Republic,33%
30,United States,32%
31,Malaysia,31%
32,Taiwan,28%
33,Hungary,28%
34,Greece,27%
35,France,24%
36,South Korea,22%
