,Police Force,Number of police officers
0,Metropolitan Police (London),31175
1,Scotland,17251
2,Northern Ireland,6716
3,West Midlands,6495
4,Greater Manchester,6444
5,West Yorkshire,5137
6,Thames Valley,4149
7,Kent,3553
8,Merseyside,3396
9,Northumbria,3081
10,Essex,3071
11,Devon & Cornwall,3000
12,South Wales,2986
13,Lancashire,2895
14,Hampshire,2697
15,Avon & Somerset,2676
16,Sussex,2629
17,South Yorkshire,2370
18,Hertfordshire,2009
19,Cheshire,2006
20,West Mercia,1989
21,Nottinghamshire,1936
22,Humberside,1889
23,Surrey,1882
24,Leicestershire,1829
25,Derbyshire,1767
26,Norfolk,1609
27,Staffordshire,1567
28,North Wales,1458
29,Cambridgeshire,1447
30,North Yorkshire,1377
31,Gwent,1308
32,Dorset,1223
33,Northamptonshire,1187
34,Suffolk,1172
35,Bedfordshire,1164
36,Cumbria,1160
37,Dyfed-Powys,1145
38,Durham,1118
39,Lincolnshire,1096
40,Gloucestershire,1073
41,Wiltshire,992
42,Warwickshire,817
