,Month,Units sold
0,Jul '20,2518
1,Jul ' 19,2184
2,Jan '19,972
3,Dec '18,1049
4,Nov '18,1187
5,Oct '18,1599
6,Sep '18,3181
7,Aug '18,1546
8,Jul '18,2316
9,Jun '18,3618
10,May '18,3115
11,Apr '18,2229
12,Mar '18,3891
13,Feb '18,592
14,Jan '18,917
15,Dec '17,965
16,Nov '17,1162
17,Oct '17,1376
18,Sep '17,3268
19,Aug '17,1412
20,Jul '17,2371
21,Jun '17,3554
22,May '17,3226
23,Apr '17,3445
24,Mar '17,4512
25,Feb '17,667
26,Jan '17,930
27,Dec '16,1215
28,Nov '16,1148
29,Oct '16,1224
30,Sep '16,3225
31,Aug '16,1369
32,Jul '16,2389
