,Country,GDP in billion euros
0,Germany,3386.0
1,United Kingdom,2390.19
2,France,2348.99
3,Italy,1753.95
4,Spain*,1206.88
5,Netherlands*,772.69
6,Switzerland,597.31
7,Poland,496.63
8,Sweden,467.01
9,Belgium,450.58
10,Austria,386.09
11,Norway,368.55
12,Ireland,318.46
13,Denmark,297.27
14,Finland**,223.89
15,Czechia,207.39
16,Romania,202.08
17,Portugal*,201.53
18,Greece*,184.71
19,Hungary,131.94
20,Slovakia,90.2
21,Luxembourg**,55.3
22,Bulgaria*,55.18
23,Croatia,51.47
24,Slovenia,45.95
25,Serbia*,42.78
26,Latvia,29.52
27,Lithuania,29.52
28,Estonia,25.66
29,Iceland**,21.71
30,Cyprus,20.73
31,Bosnia & Herzegovina*****,15.29
32,Malta,12.32
33,Albania****,11.58
34,North Macedonia***,10.73
35,Kosovo**,6.41
36,Liechtenstein****,5.72
37,Montenegro***,4.3
