,Football Club,Appearances by club
0,Real Madrid,49
1,SL Benfica,38
2,AFC Ajax,35
3,FC Bayern München,35
4,FC Dynamo Kyiv,35
5,RSC Anderlecht,34
6,Juventus,33
7,Celtic FC,33
8,FC Porto,33
9,Olympiacos FC,31
10,Rangers FC,30
11,FC Barcelona,29
12,Manchester United FC,28
13,AC Milan,28
14,Panathinaikos FC,28
15,Linfield FC,28
16,AC Sparta Praha,27
17,PSV Eindhoven,27
18,FC Steaua Bucuresti,26
19,Fenerbahce SK,26
20,Galatasaray AS,25
21,PFC CSKA Sofia,25
22,FK Crvena zvezda,24
23,Rosenborg BK,24
24,Liverpool FC,23
25,FK Partizan,22
26,AS Jeunesse Esch,22
27,Arsenal FC,21
28,Sporting Clube de Portugal,21
