,Year,Gross domestic product in billion U.S. dollars
0,2024*,57.26
1,2023*,54.24
2,2022*,51.38
3,2021*,48.76
4,2020*,46.36
5,2019*,44.17
6,2018,42.29
7,2017,40.77
8,2016,39.25
9,2015,37.97
10,2014,36.38
11,2013,34.12
12,2012,31.42
13,2011,28.99
14,2010,26.43
15,2009,23.82
16,2008,21.96
17,2007,17.11
18,2006,15.08
19,2005,12.59
20,2004,11.41
21,2003,10.2
22,2002,9.58
23,2001,8.98
24,2000,8.46
25,1999,8.15
26,1998,7.91
27,1997,7.25
28,1996,6.93
29,1995,6.65
30,1994,6.2
31,1993,5.53
32,1992,5.37
33,1991,4.35
34,1990,4.16
35,1989,4.25
36,1988,6.32
37,1987,6.75
38,1986,6.4
39,1985,5.0
40,1984,4.97
