,FTSE All-share companies,Market capitalization in million GBP
0,Tesco,17412.2
1,Next,11389.1
2,Marks & Spencer,9051.2
3,Kingfisher,8593.9
4,Burberry Group,7401.0
5,Signet Jewelers,6697.0
6,Dixons Carphone,5331.3
7,J Sainsbury,5106.9
8,Sports Direct International,4204.2
9,Morrison Supermarkets,4163.5
10,B&M,3487.0
11,Ocado Group,2324.4
12,Dunelm Group,1913.4
13,WHSmith,1776.0
14,Pets at Home Group,1500.0
15,Home Retail,1342.2
16,JD Sports Fashion,1304.1
17,Ted Baker,1295.4
18,Debenhams,1133.9
19,Card Factory,1124.0
20,Halfords,1061.0
21,N Brown Group,1013.5
22,SuperGroup,1002.6
23,Poundland,785.5
24,Ao World,619.0
