,Category,Costs in U.S. dollars
0,"Overall Wedding (with ring,",33391
1,Venue (reception hall),15163
2,Engagement ring,5764
3,Reception band,4019
4,Photographer,2630
5,Florist/décor,2379
6,Ceremony site,2311
7,Wedding/event planner,1988
8,Videographer,1912
9,Wedding Dress,1509
10,Rehearsal dinner,1285
11,Reception DJ,1231
12,Transportation,830
13,Ceremony musicians,761
14,Wedding cake,540
15,Invitations,408
16,Groom’s attire and accessories,286
17,Officiant,284
18,Favors,252
19,Catering (price per person),70
