,Country,Number of death sentences
0,China**,1000
1,Pakistan *,632
2,Egypt*,435
3,Bangladesh*,220
4,India,102
5,Zambia,101
6,Iraq*,87
7,Indonesia*,80
8,Viet Nam*,76
9,Yemen,55
10,Nigeria*,54
11,Tunisia*,39
12,United States,35
13,Sri Lanka*,34
14,Sudan*,31
15,Kenya*,29
16,Malaysia*,26
17,Somalia*,24
18,Lebanon,23
19,Sierra Leone,21
20,United Arab Emirates*,18
21,Thailand*,16
22,Afghanistan,14
23,Singapore,12
24,Trinidad and Tobago,8
25,Mauritania,8
26,Niger,8
27,Jordan*,8
28,Ghana,8
29,Malawi,8
30,DR Congo,8
31,Morocco/Western Sahara*,7
32,Oman*,7
33,Zimbabwe,6
34,Saudi Arabia*,5
35,Kuwait*,5
36,Mali*,4
37,Tanzania*,4
38,Palestine (State of),4
39,Myanmar,4
40,South Sudan*,4
41,Botswana,4
42,Bahrain*,4
43,Algeria*,4
44,Belarus*,3
45,Japan,2
46,Qatar*,2
47,Guyana,2
48,Maldives,2
49,Uganda,2
50,Taiwan,2
51,South Korea,1
52,Gambia,1
