,Major occupational group,Mean annual wage in U.S. dollars
0,Management Occupations,122480
1,Legal Occupations,109630
2,Computer and Mathematical Occupations,93760
3,Architecture and Engineering Occupations,88800
4,Healthcare Practitioners and Technical Occupations,83640
5,Business and Financial Operations Occupations,78130
6,"Life, Physical, and Social Science Occupations",77540
7,"Arts, Design, Entertainment, Sports, and Media Occupations",61960
8,Educational Instruction and Library Occupations,57710
9,Construction and Extraction Occupations,52580
10,Community and Social Service Occupations,50480
11,"Installation, Maintenance, and Repair Occupations",50130
12,Protective Service Occupations,49880
13,Sales and Related Occupations,43060
14,Office and Administrative Support Occupations,41040
15,Producation Occupations,40140
16,Transportation and Material Moving Occupations,37920
17,"Farming, Fishing, and Forestry Occupations",31340
18,Personal Care and Service Occupations,31260
19,Building and Grounds Cleaning and Maintenance Occupations,31250
20,Healthcare Support Occupations,31010
21,Food Preparation and Serving Related Occupations,26670
