,Response,Share of respondents who were aware
0,BBC iPlayer,71%
1,YouTube,66%
2,Netflix,66%
3,Amazon/Amazon MP3/Kindle/Amazon Prime,64%
4,Spotify,52%
5,Apple Music,46%
6,iTunes/App Store/ibookstore/Apple Store,46%
7,Amazon Music,43%
8,ITV Hub/ITV Player,41%
9,Sky Go,37%
10,All 4/4OD,37%
11,Google Play/Android Marketplace,34%
12,Xbox Live,33%
13,Lovefilm,31%
14,Sky Sports app,31%
15,BT Spots app,29%
16,BT TV On Demand website,28%
17,Flickr,26%
18,Deezer,26%
19,My5/Demand5,23%
20,Sky Sports Mobile TV website,23%
21,Vevo,21%
22,TV Catchup,21%
