,Month,Number of patients under ventilator
0,Dec 20,313
1,Dec 19,315
2,Dec 18,336
3,Dec 17,357
4,Dec 16,376
5,Dec 15,387
6,Dec 14,393
7,Dec 13,396
8,Dec 12,407
9,Dec 11,413
10,Dec 10,412
11,Dec 9,444
12,Dec 8,448
13,Dec 7,474
14,Dec 6,480
15,Dec 5,495
16,Dec 4,516
17,Dec 3,507
18,Dec 2,535
19,Dec 1,555
20,Nov 30,566
21,Nov 29,582
22,Nov 28,597
23,Nov 27,638
24,Nov 26,671
25,Nov 25,709
26,Nov 24,720
27,Nov 23,775
28,Nov 22,760
29,Nov 21,799
30,Nov 20,815
31,Nov 19,837
32,Nov 18,887
33,Nov 17,885
34,Nov 16,895
35,Nov 15,900
36,Nov 14,876
37,Nov 13,903
38,Nov 12,907
39,Nov 11,898
40,Nov 10,885
41,Nov 9,881
42,Nov 8,888
43,Nov 7,879
44,Nov 6,826
45,Nov 5,814
46,Nov 4,792
47,Nov 3,751
48,Nov 2,697
49,Nov 1,671
50,Oct 31,633
51,Oct 30,599
52,Oct 29,557
53,Oct 28,541
54,Oct 27,484
55,Oct 26,444
56,Oct 25,383
57,Oct 24,371
58,Oct 23,328
59,Oct 22,289
60,Oct 21,272
61,Oct 20,248
62,Oct 19,209
63,Oct 18,195
64,Oct 17,184
65,Oct 16,172
66,Oct 15,167
67,Oct 14,160
68,Oct 13,142
69,Oct 12,126
70,Oct 11,109
71,Oct 10,98
72,Oct 9,97
73,Oct 8,96
74,Oct 7,94
75,Oct 6,85
76,Oct 5,83
77,Oct 4,77
78,Oct 3,79
79,Oct 2,72
80,Oct 1,71
81,Sep 30,75
82,Sep 29,73
83,Sep 28,71
84,Sep 27,63
85,Sep 26,60
86,Sep 25,55
87,Sep 24,57
88,Sep 23,52
89,Sep 22,48
90,Sep 21,46
91,Sep 20,40
92,Sep 19,44
93,Sep 18,44
94,Sep 17,39
95,Sep 16,39
96,Sep 15,34
97,Sep 14,35
98,Sep 13,33
99,Sep 12,30
100,Sep 11,32
101,Sep 10,28
102,Sep 9,33
103,Sep 8,35
104,Sep 7,34
105,Sep 6,36
106,Sep 5,38
107,Sep 4,37
108,Sep 3,37
109,Sep 2,39
110,Sep 1,38
111,Aug 31,37
112,Aug 30,39
113,Aug 29,42
114,Aug 28,44
115,Aug 27,42
116,Aug 26,40
117,Aug 25,45
118,Aug 24,45
119,Aug 23,44
120,Aug 22,47
121,Aug 21,47
122,Aug 20,50
123,Aug 19,48
124,Aug18,48
125,Aug 17,45
126,Aug 16,48
127,Aug 15,43
128,Aug 14,45
129,Aug 13,42
130,Aug 12,40
131,Aug 11,38
132,Aug 10,42
133,Aug 9,34
134,Aug 8,34
135,Aug 7,37
136,Aug 6,32
137,Aug 5,29
138,Aug 4,30
139,Aug 3,32
140,Aug 2,31
141,Aug 1,29
142,Jul 31,27
143,Jul 30,23
144,Jul 29,24
145,Jul 28,22
146,Jul 27,22
147,Jul 26,22
148,Jul 25,20
149,Jul 24,19
150,Jul 23,15
151,Jul 22,18
152,Jul 21,15
153,Jul 20,17
154,Jul 19,15
155,Jul 18,19
156,Jul 17,18
157,Jul 16,17
158,Jul 15,17
159,Jul 14,17
160,Jul 13,14
161,Jul 12,12
162,Jul 11,15
163,Jul 10,15
164,Jul 9,16
165,Jul 8,15
166,Jul 7,15
167,Jul 6,15
168,Jul 5,15
169,Jul 4,14
170,Jul 3,13
171,Jul 2,13
172,Jul 1,14
173,Jun 30,18
174,Jun 29,18
175,Jun 28,17
176,Jun 27,16
177,Jun 26,18
178,Jun 25,20
179,Jun 24,21
180,Jun 23,24
181,Jun 22,20
182,Jun 21,25
183,Jun 20,28
184,Jun 19,27
185,Jun 18,27
186,Jun 17,26
187,Jun 16,31
188,Jun 15,37
189,Jun 14,43
190,Jun 13,44
191,Jun 12,43
192,Jun 11,46
193,Jun 10,52
194,Jun 9,57
195,Jun 8,66
196,Jun 7,70
197,Jun 6,69
198,Jun 5,71
199,Jun 4,73
200,Jun 3,74
201,Jun 2,79
202,Jun 1,86
203,May 31,83
204,May 30,84
205,May 29,85
206,May 28,90
207,May 27,101
208,May 26,114
209,May 25,129
210,May 24,134
211,May 23,143
212,May 22,149
213,May 21,147
214,May 20,154
215,May 19,169
216,May 18,191
217,May 17,190
218,May 16,198
219,May 15,219
220,May 14,231
221,May 13,239
222,May 12,270
223,May 11,282
224,May 10,296
225,May 9,295
226,May 8,328
227,May 7,339
228,May 6,359
229,May 5,367
230,May 4,387
231,May 3,401
232,May 2,426
233,May 1,452
234,Apr 30,491
235,Apr 29,517
236,Apr 28,534
237,Apr 27,566
238,Apr 26,600
239,Apr 25,620
240,Apr 24,635
241,Apr 23,681
242,Apr 22,703
243,Apr 21,733
244,Apr 20,777
245,Apr 19,760
246,Apr 18,781
247,Apr 17,809
248,Apr 16,846
249,Apr 15,868
250,Apr 14,889
251,Apr 13,915
252,Apr 12,940
253,Apr 11,931
254,Apr 10,981
255,Apr 9,993
256,Apr 8,994
257,Apr 7,1008
258,Apr 6,999
259,Apr 5,1013
260,Apr 4,1002
261,Apr 3,985
262,Apr 2,916
263,Apr 1,906
264,Mar 31,834
265,Mar 30,786
266,Mar 29,709
267,Mar 28,656
268,Mar 27,579
269,Mar 26,498
270,Mar 25,422
271,Mar 24,322
272,Mar 23,286
273,Mar 22,239
274,Mar 21,200
275,Mar 20,168
276,Mar 19,115
277,Mar 18,88
278,Mar 17,66
279,Mar 16,51
280,Mar 15,32
