,film series,Box office revenue in million U.S. dollars
0,Marvel Cinematic Universe,8545.43
1,Star Wars,5079.12
2,Harry Potter,2786.94
3,Batman,2783.76
4,Spider-Man,2711.12
5,Marvel Avengers,2619.55
6,X-Men,2450.11
7,DC Extended Universe,2147.69
8,Jurassic Park,1882.77
9,James Bond,2136.67
10,Peter Jackson's Lord of the Rings,1852.3
11,Fast and the Furious,1690.75
12,Transformers,1582.4
13,Pirates of the Caribbean,1451.77
14,Hunger Games,1451.54
15,Shrek,1419.6
16,Star Trek,1400.95
17,Twilight,1365.92
18,Toy Story,1317.39
19,Despicable Me,1220.25
20,Dark Knight Trilogy,1187.2
21,Mission: Impossible,1154.49
22,Superman,1152.7
23,Iron Man,1040.03
24,Indiana Jones,919.84
