,Country,Expenditures in million euros
0,Poland,16349.9
1,France,14778.3
2,Spain,12270.4
3,Germany,12053.9
4,Italy,10337.0
5,Belgium,8513.6
6,Hungary,6298.1
7,Portugal,5010.8
8,Romania,4865.1
9,Czech Republic,4123.2
10,Netherlands,2470.4
11,Slovakia,2457.2
12,Bulgaria,2168.6
13,Lithuania,2070.6
14,Ireland,2063.7
15,Luxembourg,2008.3
16,Austria,1952.6
17,Sweden,1814.2
18,Finland,1477.7
19,Denmark,1411.2
20,Latvia,1211.8
21,Croatia,1120.3
22,Slovenia,926.8
23,Estonia,759.4
24,Cyprus,263.9
25,Malta,156.0
