,Occupation,Average usual weekly hours
0,"Natural resources, agriculture and related production occupations",40.7
1,Management occupations,40.4
2,"Trades, transport and equipment operators and related occupations",40.2
3,Occupations in manufacturing and utilities,39.4
4,Natural and applied sciences and related occupations,38.2
5,"Total, all occupations",35.8
6,"Business, finance and administration occupations",35.4
7,Health occupations,34.5
8,"Occupations in education, law and social, community and government services",34.2
9,Sales and service occupations,31.1
10,"Occupations in art, culture, recreation and sport",30.3
