,players,Number of runs scored
0,BB McCullum  (New Zealand vs Bangladesh - 2012),123
1,CH Gayle  (West Indies vs South Africa - 2007),117
2,AD Hales  (England vs Sri Lanka - 2014)*,116
3,Ahmed Shehzad  (Pakistan vs Bangladesh - 2014)*,111
4,Tamim Iqbal  (Bangladesh vs Oman - 2016),103
5,SK Raina  (India vs South Africa - 2010),101
6,CH Gayle  (West Indies vs England - 2016)*,100
7,DPMD Jayawardene  (Sri Lanka vs Zimbabwe - 2010),100
8,LJ Wright  (England vs Afghanistan - 2012)*,99
9,DPMD Jayawardene  (Sri Lanka vs West Indies - 2010)*,98
