,Year,Gross domestic product in billion international dollars
0,2021*,403.34
1,2020*,384.3
2,2019*,407.41
3,2018,395.87
4,2017,381.54
5,2016,365.98
6,2015,358.39
7,2014,347.85
8,2013,334.94
9,2012,325.79
10,2011,311.25
11,2010,301.92
12,2009,296.36
13,2008,299.29
14,2007,292.18
15,2006,276.27
16,2005,261.87
17,2004,247.46
18,2003,231.77
19,2002,225.5
20,2001,218.82
21,2000,209.77
22,1999,198.81
23,1998,192.12
24,1997,185.12
25,1996,172.85
26,1995,161.61
27,1994,151.98
28,1993,141.64
29,1992,134.53
30,1991,127.0
31,1990,119.17
32,1989,112.69
33,1988,107.32
34,1987,103.93
35,1986,99.68
36,1985,93.91
37,1984,86.25
