,Institution,Times Higher Education Score
0,University of Oxford,95.4
1,California Institute of Technology,94.5
2,University of Cambridge,94.4
3,Stanford University,94.3
4,Massachusetts Institute of Technology,93.6
5,Princeton University,93.2
6,Harvard University,93.0
7,Yale University,91.7
8,University of Chicago,90.2
9,Imperial College of London,89.8
10,University of Pennsylvania,89.6
11,Johns Hopkins University,89.2
12,"University of California, Berkeley",88.3
13,ETH Zurich,88.3
14,UCL,87.1
15,Columbia University,87.0
16,"University of California, Los Angeles",86.8
17,University of Toronto,85.5
18,Cornell University,85.1
19,Duke University,84.0
20,University of Michigan - Ann Arbor,83.8
21,Northwestern University,83.5
22,Tsinghua University,82.6
23,Peking University,82.3
24,National University of Singapore,81.9
