,Quarter,Viewers in thousands
0,Q1 2012,10610
1,Q2 2012,9638
2,Q3 2012,10353
3,Q4 2012,9702
4,Q1 2013,9677
5,Q2 2013,10047
6,Q3 2013,10609
7,Q4 2013,11487
8,Q1 2014,9967
9,Q2 2014,10947
10,Q3 2014,9674
11,Q4 2014,9917
12,Q1 2015,10647
13,Q2 2015,9856
14,Q3 2015,9509
15,Q4 2015,8351
16,Q1 2016,10631
17,Q2 2016,10279
18,Q3 2016,10201
19,Q4 2016,9717
20,Q1 2017,8838
21,Q2 2017,8761
22,Q3 2017,8738
23,Q4 2017,8188
24,Q1 2018,8011
25,Q2 2018,7629
26,Q3 2018,8344
27,Q4 2018,6833
28,Q1 2019,6482
29,Q2 2019,5960
30,Q3 2019,6890
