,association football club,Appearances by club
0,Real Madrid CF,50
1,FC Bayern Munchen,36
2,FC Barcelona,30
3,Manchester United FC,28
4,Juventus,34
5,AC Milan,28
6,Liverpool FC,24
7,SL Benfica,39
8,FC Porto,34
9,AFC Ajax,36
10,FC Dynamo Kyiv,36
11,Arsenal FC,21
12,Celtic FC,34
13,FC Internazionale Milano,21
14,Chelsea FC,16
15,RSC Anderlecht,34
16,Club Atletico de Madrid,15
17,PSV Eindhoven,28
18,Borussia Dortmund,18
19,Olympique Lyonnais,18
20,Rangers FC,30
21,FK Crvena zvezda,25
22,Galatasaray,26
23,Olympiacos FC,32
24,Valencia CF,13
