,ice hockey team,Brand value (in million U.S. dollars)
0,Toronto Maple Leafs,140.93
1,Montreal Canadiens,126.36
2,New York Rangers,120.38
3,Vancouver Canucks,89.64
4,Detroit Red Wings,76.05
5,Pittsburgh Penguins,71.44
6,Chicago Blackhawks,66.2
7,Boston Bruins,65.86
8,Ottawa Senators,58.77
9,New Jersey Devils,54.33
10,Philadelphia Flyers,52.49
11,Calgary Flames,52.15
12,Los Angeles Kings,46.84
13,Winnipeg Jets,40.48
14,Dallas Stars,38.37
15,Edmonton Oilers,36.94
16,Buffalo Sabres,35.92
17,Washington Capitals,35.67
18,St. Louis Blues,34.65
19,Nashville Predators,33.57
20,Tampa Bay Lightning,33.24
21,Phoenix Coyotes,32.81
22,San Jose Sharks,31.99
23,Colorado Avalanche,31.39
24,Carolina Hurricanes,30.73
25,Minnesota Wild,28.83
26,Anaheim Ducks,27.62
27,Florida Panthers,26.8
28,Columbus Blue Jackets,23.02
29,New York Islanders,16.93
