,Year,GDP in billion international dollars
0,2021*,750.87
1,2020*,722.67
2,2019*,744.09
3,2018,722.02
4,2017,692.88
5,2016,676.75
6,2015,649.92
7,2014,611.98
8,2013,576.17
9,2012,539.0
10,2011,506.16
11,2010,463.67
12,2009,451.13
13,2008,472.42
14,2007,448.97
15,2006,423.54
16,2005,374.3
17,2004,346.15
18,2003,307.62
19,2002,277.55
20,2001,266.62
21,2000,257.59
22,1999,224.3
23,1998,213.11
24,1997,209.09
25,1996,189.35
26,1995,176.52
27,1994,162.22
28,1993,147.94
29,1992,144.55
30,1991,137.09
31,1990,129.82
32,1989,101.28
33,1988,84.21
34,1987,83.53
35,1986,77.41
36,1985,93.99
37,1984,93.47
