,Leading companies in the information services industry,Turnover in million NOK
0,Tidal Music AS,931.82
1,Visolit Norway AS,864.83
2,Aller Media AS,762.73
3,Telecomputing Norway AS,725.53
4,Ambita AS,393.97
5,Refinitiv Norge AS,326.53
6,Visma It & Communications AS,286.96
7,Norsk Telegrambyrå,258.41
8,Bjaroy Gruppen AS,250.61
9,Gule Sider AS,235.31
10,Buypass AS,225.07
11,Lendo AS,204.15
12,Sony Music Entertainment Norway AS,189.42
13,Ikomm AS,179.21
14,Google Norway AS,177.87
15,Braathe AS,176.41
16,Iron Mountain Norge AS,159.15
17,Digitale Medier 1881 AS,157.86
18,Softlayer Technologies Norge AS,154.56
19,Jakob Hatteland Solutions AS,150.17
