,State,Number of signups
0,Florida,1783304
1,California,1513883
2,Texas,1087240
3,North Carolina,501271
4,Georgia,458437
5,Pennsylvania,365888
6,Virginia,328020
7,Illinois,312280
8,Massachusetts,300085
9,Michigan,274058
10,New York,271873
11,New Jersey,255246
12,Washington,222636
13,Tennessee,221533
14,Missouri,220461
15,South Carolina,214956
16,Ohio,206871
17,Wisconsin,205118
18,Utah,194570
19,Colorado,169672
20,Alabama,166128
21,Arizona,160456
22,Maryland,156963
23,Oklahoma,150759
24,Indiana,148404
25,Oregon,148180
26,Minnesota,123731
27,Connecticut,111066
28,Idaho,103154
29,Louisiana,92948
30,Kansas,89993
31,Mississippi,88542
32,Nebraska,87416
33,Kentucky,84620
34,Nevada,83449
35,Maine,70987
36,Arkansas,67413
37,Iowa,49210
38,Montana,45374
39,New Mexico,45001
40,New Hampshire,44581
41,Rhode Island,34533
42,South Dakota,29069
43,Vermont,25223
44,Wyoming,24852
45,West Virginia,22599
46,Delaware,22562
47,North Dakota,21820
48,District of Columbia,20894
49,Hawaii,20193
50,Alaska,17805
