,Metropolitan statistical area,"Rate per 100,000 population"
0,"Anchorage, AK",178.4
1,"Rapid City, SD",129.3
2,"Danville, IL",121.2
3,"Fairbanks, AK",116.1
4,"St. Joseph, MO-KS",115.6
5,"Niles, MI",109.5
6,"Lincoln, NE",106.4
7,"Jackson, MI",102.4
8,"Jonesboro, AR",99.5
9,"Gainesville, FL",93.7
10,"Springfield, MO",92.5
11,"Odessa, TX",92.4
12,"Altoona, PA",91.2
13,"Lubbock, TX",88.9
14,"Lansing-East Lansing, MI",88.8
15,"Victoria, TX",88.3
16,"Watertown-Fort Drum, NY",86.8
17,"Casper, WY",85.5
18,"Wichita Falls, TX",85.2
19,"Kalamazoo-Portage, MI",85.0
20,"Carson City, NV",84.7
21,"Lawton, OK",83.9
22,"Fort Smith, AR-OK",82.9
23,"Bismarck, ND",80.7
24,"Battle Creek, MI",80.6
25,"Grand Rapids-Kentwood, MI",79.4
26,"Grand Island, NE",79.1
27,"San Antonio-New Braunfels, TX",78.5
28,"Chico, CA",78.0
29,"Colorado Springs, CO",77.8
30,"Lima, OH",77.4
31,"Enid, OK",77.3
32,"New Orleans-Metairie, LA",76.6
33,"Bay City, MI",75.6
34,"Glens Falls, NY",75.6
35,"Mansfield, OH",75.5
36,"Wichita, KS",74.0
37,"Missoula, MT",73.5
38,"Muskegon, MI",73.3
39,"Las Vegas-Henderson-Paradise, NV",73.2
40,"Amarillo, TX",72.9
41,"Corpus Christi, TX",72.9
42,"Little Rock-North Little Rock-Conway, AR",72.6
43,"Binghamton, NY",72.0
44,"Salt Lake City, UT",71.3
45,"Tallahassee, FL",71.0
46,"Springfield, IL",70.3
47,"Midland, MI",69.9
48,"Champaign-Urbana, IL",69.8
49,"Eau Claire, WI",69.7
