,Country,Applications
0,Germany,70320
1,Spain,38420
2,France,28140
3,Italy,18375
4,Greece,17350
5,United Kingdom,15000
6,Switzerland,10790
7,Austria,7425
8,Belgium,6530
9,Sweden,6065
10,Netherlands,4845
11,Norway,1790
12,Finland,1665
13,Denmark,1575
14,Cyprus,1300
15,Ireland,975
16,Luxembourg,670
17,Romania,585
18,Malta,405
19,Bulgaria,400
20,Iceland,305
21,Poland,265
22,Portugal,170
23,Czechia,135
24,Lithuania,90
25,Slovenia,85
26,Hungary,60
27,Croatia,55
28,Estonia,45
29,Slovakia,35
30,Latvia,35
31,Liechtenstein,15
