,Year,Inflation rate compared to previous year
0,2025*,0.8%
1,2024*,0.8%
2,2023*,0.67%
3,2022*,0.5%
4,2021*,0.17%
5,2020*,-0.55%
6,2019,0.84%
7,2018,0.81%
8,2017,0.24%
9,2016,-0.55%
10,2015,-0.63%
11,2014,0.48%
12,2013,1.53%
13,2012,1.71%
14,2011,3.45%
15,2010,2.69%
16,2009,3.32%
17,2008,4.59%
18,2007,0.52%
19,2006,2.11%
20,2005,1.33%
21,2004,-0.41%
22,2003,0.67%
23,2002,5.69%
24,2001,1.12%
25,2000,1.13%
26,1999,5.19%
27,1998,5.44%
28,1997,9%
29,1996,11.28%
30,1995,10.04%
31,1994,12.34%
32,1993,10.94%
33,1992,11.95%
34,1991,19.01%
35,1990,17.17%
36,1989,20.25%
37,1988,16.23%
38,1987,19.85%
39,1986,48.16%
40,1985,304.58%
