,Month,Number of cars registered
0,Jan 19,1
1,Dec 18,0
2,Nov 18,0
3,Oct 18,0
4,Sep 18,1
5,Aug 18,14
6,Jul 18,11
7,Jun 18,32
8,May 18,39
9,Apr 18,49
10,Mar 18,76
11,Feb 18,17
12,Jan 18,50
13,Dec 17,65
14,Nov 17,86
15,Oct 17,64
16,Sep 17,159
17,Aug 17,23
18,Jul 17,57
19,Jun 17,59
20,May 17,80
21,Apr 17,57
22,Mar 17,233
23,Feb 17,45
24,Jan 17,72
25,Dec 16,234
26,Nov 16,157
27,Oct 16,131
28,Sep 16,272
29,Aug 16,49
30,Jul 16,107
31,Jun 16,107
32,May 16,114
33,Apr 16,104
34,Mar 16,283
35,Feb 16,45
36,Jan 16,116
37,Dec 15,164
38,Nov 15,221
39,Oct 15,256
40,Sep 15,596
41,Aug 15,107
42,Jul 15,277
43,Jun 15,424
44,May 15,421
45,Apr 15,361
46,Mar 15,684
47,Feb 15,108
48,Jan 15,258
49,Dec 14,227
50,Nov 14,197
51,Oct 14,185
52,Sep 14,357
53,Aug 14,120
54,Jul 14,163
55,Jun 14,255
56,May 14,270
57,Apr 14,293
58,Mar 14,506
59,Feb 14,104
60,Jan 14,166
