,Month,Number of new cases
0,"Jan 07, 2021",2373
1,"Jan 06, 2021",2820
2,"Jan 05, 2021",2265
3,"Jan 04, 2021",1252
4,"Jan 03, 2021",1565
5,"Jan 02, 2021",1422
6,"Jan 01, 2021",1417
7,"Dec 31, 2020",1924
8,"Dec 30, 2020",2414
9,"Dec 29, 2020",1598
10,"Dec 28, 2020",1612
11,"Dec 27, 2020",1362
12,"Dec 26, 2020",1652
13,"Dec 25, 2020",1826
14,"Dec 24, 2020",1752
15,"Dec 23, 2020",1677
16,"Dec 22, 2020",1605
17,"Dec 21, 2020",1031
18,"Dec 20, 2020",1536
19,"Dec 19, 2020",1569
20,"Dec 18, 2020",1616
21,"Dec 17, 2020",1419
22,"Dec 16, 2020",1306
23,"Dec 15, 2020",1880
24,"Dec 14, 2020",0
25,"Dec 13, 2020",968
26,"Dec 12, 2020",1289
27,"Dec 11, 2020",1290
28,"Dec 10, 2020",958
29,"Dec 09, 2020",1411
30,"Dec 08, 2020",1116
31,"Dec 07, 2020",327
32,"Dec 06, 2020",1011
33,"Dec 05, 2020",1091
34,"Dec 04, 2020",2620
35,"Dec 03, 2020",0
36,"Dec 02, 2020",2511
37,"Dec 01, 2020",0
38,"Nov 30, 2020",518
39,"Nov 29, 2020",1271
40,"Nov 28, 2020",1210
41,"Nov 27, 2020",1295
42,"Nov 26, 2020",1168
43,"Nov 25, 2020",1094
44,"Nov 24, 2020",1017
45,"Nov 23, 2020",485
46,"Nov 22, 2020",1240
47,"Nov 21, 2020",1206
48,"Nov 20, 2020",2493
49,"Nov 19, 2020",0
50,"Nov 18, 2020",2049
51,"Nov 17, 2020",720
52,"Nov 16, 2020",599
53,"Nov 15, 2020",1065
54,"Nov 14, 2020",1671
55,"Nov 13, 2020",1562
56,"Nov 12, 2020",1584
57,"Nov 11, 2020",1529
58,"Nov 10, 2020",1424
59,"Nov 9, 2020",450
60,"Nov 8, 2020",1576
61,"Nov 7, 2020",3209
62,"Nov 6, 2020",0
63,"Nov 5, 2020",1971
64,"Nov 4, 2020",1237
65,"Nov 3, 2020",1220
66,"Nov 2, 2020",791
67,"Nov 1, 2020",1302
68,"Oct 31, 2020",1784
69,"Oct 30, 2020",3751
70,"Oct 29, 2020",0
71,"Oct 28, 2020",1879
72,"Oct 27, 2020",0
73,"Oct 26, 2020",3600
74,"Oct 25, 2020",0
75,"Oct 24, 2020",1585
76,"Oct 23, 2020",1322
77,"Oct 22, 2020",0
78,"Oct 21, 2020",1422
79,"Oct 20, 2020",1723
80,"Oct 19, 2020",2185
81,"Oct 18, 2020",0
82,"Oct 17, 2020",5752
83,"Oct 16, 2020",0
84,"Oct 15, 2020",0
85,"Oct 14, 2020",2234
86,"Oct 13, 2020",0
87,"Oct 12, 2020",0
88,"Oct 11, 2020",1297
89,"Oct 10, 2020",4360
90,"Oct 9, 2020",0
91,"Oct 8, 2020",2357
92,"Oct 7, 2020",2312
93,"Oct 6, 2020",0
94,"Oct 5, 2020",0
95,"Oct 4, 2020",1286
96,"Oct 3, 2020",1223
97,"Oct 2, 2020",1308
98,"Oct 1, 2020",0
99,"Sep 30, 2020",1008
100,"Sep 29, 2020",1291
101,"Sep 28, 2020",0
102,"Sep 27, 2020",1722
103,"Sep 26, 2020",0
104,"Sep 25, 2020",1087
105,"Sep 24, 2020",826
106,"Sep 23, 2020",1219
107,"Sep 22, 2020",0
108,"Sep 21, 2020",528
109,"Sep 20, 2020",1622
110,"Sep 19, 2020",540
111,"Sep 18, 2020",0
112,"Sep 17, 2020",470
113,"Sep 16, 2020",477
114,"Sep 15, 2020",241
115,"Sep 14, 2020",747
116,"Sep 13, 2020",0
117,"Sep 12, 2020",376
118,"Sep 11, 2020",377
119,"Sep 10, 2020",465
120,"Sep 9, 2020",0
121,"Sep 8, 2020",293
122,"Sep 7, 2020",83
123,"Sep 6, 2020",265
124,"Sep 5, 2020",234
125,"Sep 4, 2020",148
126,"Sep 3, 2020",198
127,"Sep 2, 2020",223
128,"Sep 1, 2020",160
129,"Aug 31, 2020",118
130,"Aug 30, 2020",113
131,"Aug 29, 2020",111
132,"Aug 28, 2020",138
133,"Aug 27, 2020",117
134,"Aug 26, 2020",137
135,"Aug 25, 2020",176
136,"Aug 24, 2020",75
137,"Aug 23, 2020",80
138,"Aug 22, 2020",131
139,"Aug 21, 2020",64
140,"Aug 20, 2020",116
141,"Aug 19, 2020",113
142,"Aug 18, 2020",129
143,"Aug 17, 2020",78
144,"Aug 16, 2020",84
145,"Aug 15, 2020",120
146,"Aug 14, 2020",56
147,"Aug 13, 2020",67
148,"Aug 12, 2020",42
149,"Aug 11, 2020",21
150,"Aug 10, 2020",20
151,"Aug 9, 2020",19
152,"Aug 8, 2020",22
153,"Aug 7, 2020",14
154,"Aug 6, 2020",41
155,"Aug 5, 2020",17
156,"Aug 4, 2020",19
157,"Aug 3, 2020",4
158,"Aug 2, 2020",9
159,"Aug 1, 2020",17
160,"Jul 31, 2020",21
161,"Jul 30, 2020",26
162,"Jul 29, 2020",20
163,"Jul 28, 2020",13
164,"Jul 27, 2020",3
165,"Jul 26, 2020",9
166,"Jul 25, 2020",18
167,"Jul 24, 2020",19
168,"Jul 23, 2020",12
169,"Jul 22, 2020",5
170,"Jul 21, 2020",8
171,Jul 20. 2020,7
172,"Jul 19, 2020",26
173,"Jul 18, 2020",12
174,"Jul 17, 2020",9
175,"Jul 16, 2020",8
176,"Jul 15, 2020",13
177,"Jul 14, 2020",4
178,"Jul 13, 2020",39
179,"Jul 12, 2020",18
180,"Jul 11, 2020",5
181,"Jul 10, 2020",9
182,"Jul 09, 2020",10
183,"Jul 08, 2020",16
184,"Jul 07, 2020",6
185,"Jul 06, 2020",11
186,"Jul 05, 2020",2
187,"Jul 04, 2020",5
188,"Jul 03, 2020",3
189,"Jul 02, 2020",3
190,"Jul 01, 2020",1
191,"Jun 30, 2020",2
192,"Jun 29, 2020",3
193,"Jun 28, 2020",1
194,"Jun 27, 2020",4
195,"Jun 26, 2020",2
196,"Jun 25, 2020",2
197,"Jun 24, 2020",1
198,"Jun 23, 2020",0
199,"Jun 22, 2020",2
200,"Jun 21, 2020",1
201,"Jun 20, 2020",10
202,"Jun 19, 2020",14
203,"Jun 18, 2020",4
204,"Jun 17, 2020",3
205,"Jun 16, 2020",15
206,"Jun 15, 2020",14
207,"Jun 14, 2020",2
208,"Jun 13, 2020",1
209,"Jun 12, 2020",6
210,"Jun 11, 2020",0
211,"Jun 10, 2020",0
212,"Jun 09, 2020",0
213,"Jun 08, 2020",0
214,"Jun 07, 2020",0
215,"Jun 06, 2020",0
216,"Jun 05, 2020",0
217,"Jun 04, 2020",0
218,"Jun 03, 2020",1
219,"Jun 02, 2020",2
220,"Jun 01, 2020",7
221,"May 31, 2020",1
222,"May 30, 2020",5
223,"May 29, 2020",3
224,"May 28, 2020",17
225,"May 27, 2020",0
226,"May 26, 2020",0
227,"May 25, 2020",0
228,"May 24, 2020",3
229,"May 23, 2020",0
230,"May 22, 2020",2
231,"May 21, 2020",1
232,"May 20, 2020",1
233,"May 19, 2020",1
234,"May 18, 2020",6
235,"May 17, 2020",0
236,"May 16, 2020",2
237,"May 15, 2020",3
238,"May 14, 2020",0
239,"May 13, 2020",0
240,"May 12, 2020",0
241,"May 11, 2020",0
242,"May 10, 2020",0
243,"May 09, 2020",2
244,"May 08, 2020",4
245,"May 07, 2020",1
246,"May 06, 2020",3
247,"May 05, 2020",4
248,"May 04, 2020",5
249,"May 03, 2020",4
250,"May 02, 2020",11
251,"May 01, 2020",4
252,"Apr 30, 2020",14
253,"Apr 29, 2020",5
254,"Apr 28, 2020",8
255,"Apr 27, 2020",18
256,"Apr 26, 2020",10
257,"Apr 25, 2020",17
258,"Apr 24, 2020",4
259,"Apr 23, 2020",9
260,"Apr 22, 2020",25
261,"Apr 21, 2020",17
262,"Apr 20, 2020",5
263,"Apr 19, 2020",15
264,"Apr 18, 2020",0
265,"Apr 17, 2020",42
266,"Apr 16, 2020",42
267,"Apr 15, 2020",33
268,"Apr 14, 2020",21
269,"Apr 13, 2020",19
270,"Apr 12, 2020",22
271,"Apr 11, 2020",14
272,"Apr 10, 2020",28
273,"Apr 09, 2020",15
274,"Apr 08, 2020",5
275,"Apr 07, 2020",27
276,"Apr 06, 2020",22
277,"Apr 05, 2020",21
278,"Apr 04, 2020",58
279,"Apr 03, 2020",40
280,"Apr 02, 2020",32
281,"Apr 01, 2020",29
282,"Mar 31, 2020",82
283,"Mar 30, 2020",0
284,"Mar 29, 2020",34
285,"Mar 28, 2020",51
286,"Mar 27, 2020",30
287,"Mar 26, 2020",24
288,"Mar 25, 2020",59
289,"Mar 24, 2020",25
290,"Mar 23, 2020",14
291,"Mar 22, 2020",15
292,"Mar 21, 2020",6
293,"Mar 20, 2020",15
294,"Mar 19, 2020",10
295,"Mar 18, 2020",5
296,"Mar 17, 2020",4
297,"Mar 16, 2020",2
298,"Mar 15, 2020",0
299,"Mar 14, 2020",2
300,"Mar 13, 2020",9
301,"Mar 12, 2020",0
302,"Mar 11, 2020",2
303,"Mar 10, 2020",3
304,"Mar 09, 2020",0
305,"Mar 08, 2020",1
306,"Mar 07, 2020",0
307,"Mar 06, 2020",0
308,"Mar 05, 2020",0
309,"Mar 04, 2020",1
