,Field of research,Number of degrees
0,Business,192184
1,Education,146367
2,Health professions and related programs,125216
3,Engineering,51721
4,Computer and information sciences,46468
5,Public administration and social services,46294
6,Psychology,27841
7,Social sciences and history,19884
8,Visual and performing arts,17686
9,Biological and biomedical sciences,17180
10,Theology and religious vocations,13828
11,Mathematics and statistics,10443
12,"Homeland security, law enforcement, and firefighting",10293
13,"Communication, journalism, and related programs",10243
14,Multi/interdisciplinary studies,10175
15,Legal professions and studies,9177
16,"Parks, recreation, leisure, and fitness studies",9005
17,English language and literature/letters,8300
18,Architecture and related services,7317
19,Engineering technologies,7247
20,Physical sciences and science technologies,7196
21,Agriculture and natural resources,6967
22,Library science,4953
23,Family and consumer sciences/human sciences,3308
24,"Foreign languages, literatures, and linguistics",3261
25,"Liberal arts and sciences, general studies, and humanities",2473
26,Philosophy and religious studies,1692
27,"Area, ethnic, cultural, gender, and group studies",1673
28,Transportation and materials moving,815
29,Communications technologies,529
30,Military technologies and applied sciences,355
31,Precision production,11
