,Year,Number of reported cases
0,2019,6925677
1,2018,7219084
2,2017,7682988
3,2016,7928530
4,2015,8024115
5,2014,8209010
6,2013,8651892
7,2012,9001992
8,2011,9052743
9,2010,9112625
10,2009,9337060
11,2008,9774152
12,2007,9882212
13,2006,10019601
14,2005,10174754
15,2004,10319386
16,2003,10442862
17,2002,10455277
18,2001,10437189
19,2000,10182584
20,1999,10208334
21,1998,10951827
22,1997,11558475
23,1996,11805323
24,1995,12063935
25,1994,12131873
26,1993,12218777
27,1992,12505917
28,1991,12961116
29,1990,12655486
