,Year,Gross domestic product in billion international dollars
0,2021*,95.7
1,2020*,91.23
2,2019*,93.36
3,2018,89.26
4,2017,83.6
5,2016,78.75
6,2015,74.76
7,2014,70.56
8,2013,65.69
9,2012,60.45
10,2011,56.42
11,2010,52.54
12,2009,49.87
13,2008,47.89
14,2007,44.25
15,2006,41.21
16,2005,38.17
17,2004,35.45
18,2003,33.14
19,2002,31.68
20,2001,30.43
21,2000,29.28
22,1999,27.94
23,1998,27.43
24,1997,25.82
25,1996,24.19
26,1995,22.76
27,1994,21.29
28,1993,19.92
29,1992,18.66
30,1991,17.95
31,1990,16.49
32,1989,15.2
33,1988,14.09
34,1987,13.22
35,1986,12.59
36,1985,12.67
37,1984,12.49
