,Year,GDP in billion international dollars
0,2021*,104.2
1,2020*,97.37
2,2019,94.38
3,2018,86.66
4,2017,79.31
5,2016,71.93
6,2015,70.78
7,2014,67.8
8,2013,62.8
9,2012,59.27
10,2011,55.5
11,2010,52.57
12,2009,49.58
13,2008,47.07
14,2007,43.51
15,2006,40.98
16,2005,38.48
17,2004,36.06
18,2003,33.55
19,2002,31.68
20,2001,31.15
21,2000,28.86
22,1999,26.6
23,1998,25.1
24,1997,24.11
25,1996,22.52
26,1995,20.99
27,1994,19.87
28,1993,17.98
29,1992,16.91
30,1991,15.88
31,1990,14.44
32,1989,13.31
33,1988,12.27
34,1987,11.01
35,1986,10.56
36,1985,9.9
37,1984,9.04
