,State,Average attendance
0,Syracuse,21704
1,Kentucky,20160
2,North Carolina,20103
3,Tennessee,18990
4,Creighton,17314
5,Wisconsin,16912
6,Louisville,16658
7,Kansas,16388
8,Memphis,16312
9,Indiana,16300
10,Nebraska,15605
11,Arkansas,15487
12,Maryland,15336
13,NC State,15150
14,Marquette,15145
15,Perdue,14804
16,Michigan St.,14797
17,Ohio St.,14531
18,Virginia,14090
19,Texas Tech,14057
20,Iowa St.,13954
21,Arizona,13654
22,Dayton,13364
23,Illinois,13041
24,BYU,12626
25,Michigan,12539
26,Iowa,12357
27,West Virginia,12299
28,South Carolina,12180
29,San Diego St.,11668
