,Leading players of the national football team of South Korea ,Market value in million euros
0,Heung-min Son,50.0
1,Hee-chan Hwang,10.0
2,Sung-yong Ki,7.0
3,Ja-cheol Koo,3.5
4,Jae-song Lee,2.0
5,Shin-uk Kim,1.8
6,Seung-Gyu Kim,1.25
7,Jin-hyeon Kim,1.25
8,Min-uh Kim,1.2
9,Seung-Woo Lee,1.0
10,Young-gwon Kim,0.85
11,Ban-seok Oh,0.85
12,Yo-han Ko,0.83
13,Woo-young Jung,0.8
14,Ju-ho Park,0.75
15,Cheol Hong,0.75
16,Se-jong Ju,0.75
17,Hyun-soo Jang,0.65
18,Yong Lee,0.5
19,Hyeon-uh Jo,0.5
20,Seon-min Mun,0.45
21,Seung-hyeon Jung,0.45
22,Young-seon Yun,0.4
