,3D movie,Lifetime gross in million U.S. dollars
0,Star Wars: The Force Awakens,936.66
1,Avengers: Endgame*,842.76
2,Avatar,760.51
3,Black Panther,700.06
4,Avengers: Infinity War,678.82
5,Jurassic World,652.27
6,Marvel's The Avengers,623.36
7,Star Wars: The Last Jedi,620.18
8,Incredibles 2,608.59
9,Rogue One: A Star Wars Story,532.18
10,Beauty and the Beast (2017),504.01
11,Finding Dory,486.3
12,Avengers: Age of Ultron,459.01
13,Captain Marvel*,426.82
14,Jurassic World: Fallen Kingdom,416.77
15,Toy Story 3,415.0
16,Wonder Woman,412.56
17,Iron Man 3,409.01
18,Captain America: Civil War,408.08
19,Jumanji: Welcome to the Jungle,404.52
