,Response,Percentage of physicians
0,Urology,54%
1,Neurology,50%
2,Nephrology,49%
3,Diabetes/endocrinology,46%
4,Family medicine,46%
5,Radiology,46%
6,Obstetricians/gynecologists,46%
7,Rheumatology,46%
8,Infectious disease,45%
9,Critical care,44%
10,Cardiology,44%
11,Internal medicine,44%
12,Physical medicine/rehabilitation,43%
13,Emergency medicine,43%
14,Oncology,42%
15,Anesthesiology,41%
16,Pediatrics,41%
17,Pulmonology,41%
18,Allergy/immunology,38%
19,Plastic surgery,37%
20,Gastroenterology,36%
21,Dermatology,36%
22,Pathology,36%
23,"Surgery, general",35%
24,Otalaryngology,35%
25,Psychiatry,35%
26,Orthopedics,34%
27,Ophthalmology,30%
28,Public health/preventive medicine,29%
