,Month,Exchange rate
0,Jan '20,70.34
1,Dec '19,69.96
2,Nov '19,70.55
3,Oct '19,71.36
4,Sep '19,70.76
5,Aug '19,73.41
6,Jul '19,70.8
7,Jun '19,71.6
8,May '19,72.91
9,Apr '19,72.21
10,Mar '19,72.86
11,Feb '19,75.09
12,Jan '19,75.11
13,Dec '18,79.72
14,Nov '18,76.07
15,Oct '18,74.41
16,Sep '18,76.14
17,Aug '18,79.1
18,Jul '18,73.21
19,Jun '18,73.16
20,May '18,72.58
21,Apr '18,75.96
22,Mar '18,70.89
23,Feb '18,68.75
24,Jan '18,70.07
25,Dec '17,69.39
26,Nov '17,69.19
27,Oct '17,67.87
28,Sep '17,68.25
29,Aug '17,69.12
30,Jul '17,70.46
31,Jun '17,67.54
32,May '17,63.71
33,Apr '17,62.11
34,Mar '17,60.31
35,Feb '17,61.76
36,Jan '17,64.43
37,Dec '16,65.38
38,Nov '16,69.53
39,Oct '16,69.01
40,Sep '16,72.24
41,Aug '16,72.8
42,Jul '16,71.24
43,Jun '16,73.15
44,May '16,74.47
45,Apr '16,75.43
46,Mar '16,77.94
47,Feb '16,85.62
48,Jan '16,83.86
49,Dec '15,80.67
50,Nov '15,69.99
51,Oct '15,70.57
52,Sep '15,73.24
53,Aug '15,74.86
54,Jul '15,66.86
55,Jun '15,62.36
56,May '15,57.46
57,Apr '15,57.65
58,Mar '15,62.44
59,Feb '15,69.2
60,Jan '15,79.93
61,Dec '14,72.34
62,Nov '14,61.35
63,Oct '14,53.86
64,Sep '14,49.77
65,Aug '14,48.74
66,Jul '14,47.52
67,Jun '14,46.38
68,May '14,47.31
69,Apr '14,49.46
70,Mar '14,48.78
71,Feb '14,49.94
72,Jan '14,47.75
