,Response,Share of shipments
0,Q3 '20,14.7%
1,Q2 '20,20%
2,Q1 '20,17.8%
3,Q4 '19,15.2%
4,Q3 '19,18.6%
5,Q2 '19,17.6%
6,Q1 '19,19%
7,Q4 '18,16.1%
8,Q3 '18,14.6%
9,Q2 '18,15.9%
10,Q1 '18,11.8%
11,Q4 '17,10.2%
12,Q3 '17,10.4%
13,Q2 '17,11%
14,Q1 '17,10%
15,Q4 '16,10.5%
16,Q3 '16,9.3%
17,Q2 '16,9.4%
18,Q1 '16,8.4%
19,Q4 '15,8.2%
20,Q3 '15,7.6%
21,Q2 '15,8.6%
22,Q1 '15,5.2%
23,Q4 '14,6.3%
24,Q3 '14,5%
25,Q2 '14,6.9%
26,Q1 '14,4.9%
27,Q4 '13,5.8%
28,Q3 '13,4.8%
29,Q2 '13,4.3%
30,Q1 '13,4.3%
31,Q4 '12,4.6%
32,Q3 '12,3.8%
33,Q2 '12,4.1%
34,Q1 '12,3.3%
