,NHL Teams,Twitter followers in millions
0,NHL - league account,6.17
1,Chicago Blackhawks,2.49
2,Toronto Maple Leafs,1.85
3,Pittsburgh Penguins,1.84
4,Philadelphia Flyers,1.56
5,Montreal Canadiens,1.47
6,Boston Bruins,1.45
7,New York Rangers,1.44
8,Detroit Red Wings,1.23
9,Los Angeles Kings,1.21
10,Dallas Stars,1.05
11,Vancouver Canucks,1.05
12,Buffalo Sabres,0.85
13,Edmonton Oilers,0.81
14,San Jose Sharks,0.8
15,Washington Capitals,0.74
16,New Jersey Devils,0.72
17,Tampa Bay Lightning,0.68
18,Minnesota Wild,0.68
19,St. Louis Blues,0.66
20,Calgary Flames,0.61
21,Anaheim Ducks,0.6
22,Nashville Predators,0.59
23,Ottawa Senators,0.58
24,Winnipeg Jets,0.54
25,New York Islanders,0.51
26,Colorado Avalanche,0.47
27,Columbus Blue Jackets,0.45
28,Carolina Hurricanes,0.38
29,Florida Panthers,0.37
30,Arizona Coyotes,0.35
