,Brand,Percent change in sales
0,Organic Root Stimulator,-11.6%
1,SoftSheen-Carson Dark & Lovely,-11.2%
2,Africa's Best,-9.3%
3,Luster's Pink Smooth Touch,-8.4%
4,African Pride Olive Miracle,15.4%
5,SoftSheen-Carson Optimum Care,-19.5%
6,Ultra Sheen Supreme,-15.7%
7,Soft & Beautiful Just for Me,-21.5%
8,Luster's S-Curl,-5.4%
9,Africa's Best Organic,-8.6%
10,Luster's Pink,4.9%
11,Motions,-19.2%
12,Pro-Line Comb-Thru,-5.2%
13,Dr. Miracle's,-34.6%
14,Dr. Miracle's Thermaceutical,-20.1%
15,Smart Perm,10%
16,SoftSheen-Carson Optimum Amla Legend*,-
17,Soft and Beautiful Botanicals,-29%
18,Luster's Pink ShortLooks,13.7%
19,Pro-Line Soft & Beautiful,-31.4%
