,Month,Units sold
0,Dec 19,4726
1,Nov 19,6244
2,Oct 19,7341
3,Sep 19,17858
4,Aug 19,4205
5,Jul 19,8134
6,Jun 19,11398
7,May 19,7238
8,Apr 19,6067
9,Mar 19,20874
10,Feb 19,2532
11,Jan 19,8575
12,Dec 18,2936
13,Nov 18,6156
14,Oct 18,7088
15,Sep 18,19091
16,Aug 18,3620
17,Jul 18,6632
18,Jun 18,9697
19,May 18,6774
20,Apr 18,6713
21,Mar 18,22537
22,Feb 18,2703
23,Jan 18,7975
24,Dec 17,5188
25,Nov 17,5953
26,Oct 17,6042
27,Sep 17,19222
28,Aug 17,2742
29,Jul 17,6410
30,Jun 17,9556
31,May 17,6720
32,Apr 17,5113
33,Mar 17,24508
34,Feb 17,3095
35,Jan 17,7436
36,Dec 16,4642
37,Nov 16,5854
38,Oct 16,5332
39,Sep 16,18888
40,Aug 16,2193
41,Jul 16,5333
42,Jun 16,9928
43,May 16,7144
44,Apr 16,6644
45,Mar 16,21481
46,Feb 16,2478
47,Jan 16,6829
48,Dec 15,4769
49,Nov 15,6172
50,Oct 15,6164
51,Sep 15,19095
52,Aug 15,2313
53,Jul 15,6251
54,Jun 15,9801
55,May 15,7300
56,Apr 15,6634
57,Mar 15,20541
58,Feb 15,2958
59,Jan 15,6711
60,Dec 14,5687
61,Nov 14,6037
62,Oct 14,6233
63,Sep 14,17232
64,Aug 14,1968
65,Jul 14,5791
66,Jun 14,8850
67,May 14,7644
68,Apr 14,6838
69,Mar 14,19148
70,Feb 14,2411
71,Jan 14,6173
